Configuration,Metric,Mean,Std,CI95
FAMM (Full),P@10,0.065,0.0049999999999999975,0.006929646455628161
FAMM (Full),R@10,0.6499999999999999,0.04999999999999999,0.06929646455628165
FAMM (Full),F1@10,0.11818181818181818,0.00909090909090908,0.012599357192051195
FAMM (Full),NDCG@10,0.5946394630357186,0.031546487678572877,0.04372120130586803
FAMM (Full),MRR,0.575,0.024999999999999967,0.03464823227814078
FAMM (Full),Latency_ms,45.99490165710449,7.02517032623291,9.73638933027281
FAMM – No Predictor,P@10,0.065,0.0049999999999999975,0.006929646455628161
FAMM – No Predictor,R@10,0.6499999999999999,0.04999999999999999,0.06929646455628165
FAMM – No Predictor,F1@10,0.11818181818181818,0.00909090909090908,0.012599357192051195
FAMM – No Predictor,NDCG@10,0.6130929753571457,0.04999999999999999,0.06929646455628165
FAMM – No Predictor,MRR,0.6000000000000001,0.04999999999999999,0.06929646455628165
FAMM – No Predictor,Latency_ms,44.96011734008789,5.72962760925293,7.940858730905769
FAMM – No Goal Retrieval,P@10,0.075,0.0050000000000000044,0.006929646455628172
FAMM – No Goal Retrieval,R@10,0.75,0.050000000000000044,0.0692964645562817
FAMM – No Goal Retrieval,F1@10,0.13636363636363635,0.009090909090909094,0.012599357192051214
FAMM – No Goal Retrieval,NDCG@10,0.75,0.050000000000000044,0.0692964645562817
FAMM – No Goal Retrieval,MRR,0.75,0.050000000000000044,0.0692964645562817
FAMM – No Goal Retrieval,Latency_ms,37.27062940597534,1.2591004371643066,1.7450241763351022
FAMM – No Decay,P@10,0.065,0.0049999999999999975,0.006929646455628161
FAMM – No Decay,R@10,0.6499999999999999,0.04999999999999999,0.06929646455628165
FAMM – No Decay,F1@10,0.11818181818181818,0.00909090909090908,0.012599357192051195
FAMM – No Decay,NDCG@10,0.5946394630357186,0.031546487678572877,0.04372120130586803
FAMM – No Decay,MRR,0.575,0.024999999999999967,0.03464823227814078
FAMM – No Decay,Latency_ms,43.8686728477478,0.3850102424621582,0.533596972411687
