Scale,System,Metric,Mean,Std,CI95
1000,FAMM,P@10,0.08,0.0,0.0
1000,FAMM,R@10,0.8,0.0,0.0
1000,FAMM,F1@10,0.14545454545454545,0.0,0.0
1000,FAMM,NDCG@10,0.7261859507142916,0.0,0.0
1000,FAMM,MRR,0.7,0.0,0.0
1000,FAMM,Latency_ms,27.318429946899414,0.30670166015625,0.42506681444740635
1000,SimilarityOnly,P@10,0.09,0.0,0.0
1000,SimilarityOnly,R@10,0.9,0.0,0.0
1000,SimilarityOnly,F1@10,0.16363636363636364,0.0,0.0
1000,SimilarityOnly,NDCG@10,0.9,0.0,0.0
1000,SimilarityOnly,MRR,0.9,0.0,0.0
1000,SimilarityOnly,Latency_ms,4.491877555847168,0.08966922760009766,0.1242752090435864
1000,ImportanceScoring,P@10,0.09,0.0,0.0
1000,ImportanceScoring,R@10,0.9,0.0,0.0
1000,ImportanceScoring,F1@10,0.16363636363636364,0.0,0.0
1000,ImportanceScoring,NDCG@10,0.9,0.0,0.0
1000,ImportanceScoring,MRR,0.9,0.0,0.0
1000,ImportanceScoring,Latency_ms,4.838824272155762,0.07686614990234375,0.10653104864571192
1000,EbbinghausDecay,P@10,0.09,0.0,0.0
1000,EbbinghausDecay,R@10,0.9,0.0,0.0
1000,EbbinghausDecay,F1@10,0.16363636363636364,0.0,0.0
1000,EbbinghausDecay,NDCG@10,0.9,0.0,0.0
1000,EbbinghausDecay,MRR,0.9,0.0,0.0
1000,EbbinghausDecay,Latency_ms,5.94862699508667,0.09406805038452148,0.1303716663869902
1000,NaiveFIFO,P@10,0.06999999999999999,0.0,0.0
1000,NaiveFIFO,R@10,0.7,0.0,0.0
1000,NaiveFIFO,F1@10,0.12727272727272726,0.0,0.0
1000,NaiveFIFO,NDCG@10,0.7,0.0,0.0
1000,NaiveFIFO,MRR,0.7,0.0,0.0
1000,NaiveFIFO,Latency_ms,4.6593546867370605,0.027287006378173828,0.03781786140664308
5000,FAMM,P@10,0.065,0.0049999999999999975,0.006929646455628161
5000,FAMM,R@10,0.6499999999999999,0.04999999999999999,0.06929646455628165
5000,FAMM,F1@10,0.11818181818181818,0.00909090909090908,0.012599357192051195
5000,FAMM,NDCG@10,0.5946394630357186,0.031546487678572877,0.04372120130586803
